algorithm,n,type,time_ms
std_quick,400,almost_sorted,1.469
std_merge,400,almost_sorted,0.6662
ternary_quick,400,almost_sorted,0.2692
msd,400,almost_sorted,0.4316
msd_hybrid,400,almost_sorted,0.0856
string_merge,400,almost_sorted,0.412
std_quick,500,almost_sorted,1.8394
std_merge,500,almost_sorted,0.8566
ternary_quick,500,almost_sorted,0.3544
msd,500,almost_sorted,0.482
msd_hybrid,500,almost_sorted,0.1126
string_merge,500,almost_sorted,0.5106
std_quick,600,almost_sorted,2.1736
std_merge,600,almost_sorted,1.0788
ternary_quick,600,almost_sorted,0.4554
msd,600,almost_sorted,0.5432
msd_hybrid,600,almost_sorted,0.139
string_merge,600,almost_sorted,0.6244
std_quick,700,almost_sorted,2.574
std_merge,700,almost_sorted,1.2602
ternary_quick,700,almost_sorted,0.607
msd,700,almost_sorted,0.6212
msd_hybrid,700,almost_sorted,0.1838
string_merge,700,almost_sorted,0.7436
std_quick,800,almost_sorted,3.0198
std_merge,800,almost_sorted,1.4934
ternary_quick,800,almost_sorted,0.724
msd,800,almost_sorted,0.691
msd_hybrid,800,almost_sorted,0.207
string_merge,800,almost_sorted,0.8668
std_quick,900,almost_sorted,3.2348
std_merge,900,almost_sorted,1.712
ternary_quick,900,almost_sorted,0.8448
msd,900,almost_sorted,0.7782
msd_hybrid,900,almost_sorted,0.2436
string_merge,900,almost_sorted,0.9762
std_quick,1000,almost_sorted,3.7936
std_merge,1000,almost_sorted,1.8428
ternary_quick,1000,almost_sorted,0.9258
msd,1000,almost_sorted,0.8208
msd_hybrid,1000,almost_sorted,0.2676
string_merge,1000,almost_sorted,1.0674
std_quick,1100,almost_sorted,4.17
std_merge,1100,almost_sorted,2.0496
ternary_quick,1100,almost_sorted,1.0768
msd,1100,almost_sorted,0.9298
msd_hybrid,1100,almost_sorted,0.3008
string_merge,1100,almost_sorted,1.1902
std_quick,1200,almost_sorted,4.4794
std_merge,1200,almost_sorted,2.2506
ternary_quick,1200,almost_sorted,1.2038
msd,1200,almost_sorted,1.0246
msd_hybrid,1200,almost_sorted,0.342
string_merge,1200,almost_sorted,1.2942
std_quick,1300,almost_sorted,4.91
std_merge,1300,almost_sorted,2.4604
ternary_quick,1300,almost_sorted,1.3364
msd,1300,almost_sorted,1.0998
msd_hybrid,1300,almost_sorted,0.376
string_merge,1300,almost_sorted,1.4046
std_quick,1400,almost_sorted,5.3716
std_merge,1400,almost_sorted,2.7924
ternary_quick,1400,almost_sorted,1.5438
msd,1400,almost_sorted,1.2626
msd_hybrid,1400,almost_sorted,0.437
string_merge,1400,almost_sorted,1.5684
std_quick,1500,almost_sorted,5.6252
std_merge,1500,almost_sorted,2.9132
ternary_quick,1500,almost_sorted,1.7678
msd,1500,almost_sorted,1.286
msd_hybrid,1500,almost_sorted,0.473
string_merge,1500,almost_sorted,1.6722
std_quick,1600,almost_sorted,6.0452
std_merge,1600,almost_sorted,3.1154
ternary_quick,1600,almost_sorted,1.728
msd,1600,almost_sorted,1.4406
msd_hybrid,1600,almost_sorted,0.4986
string_merge,1600,almost_sorted,1.7528
std_quick,1700,almost_sorted,6.39
std_merge,1700,almost_sorted,3.3404
ternary_quick,1700,almost_sorted,2.0106
msd,1700,almost_sorted,1.543
msd_hybrid,1700,almost_sorted,0.5452
string_merge,1700,almost_sorted,1.8728
std_quick,1800,almost_sorted,6.8144
std_merge,1800,almost_sorted,3.5462
ternary_quick,1800,almost_sorted,2.1724
msd,1800,almost_sorted,1.6076
msd_hybrid,1800,almost_sorted,0.594
string_merge,1800,almost_sorted,1.9868
std_quick,1900,almost_sorted,7.0372
std_merge,1900,almost_sorted,3.7678
ternary_quick,1900,almost_sorted,2.3112
msd,1900,almost_sorted,1.7974
msd_hybrid,1900,almost_sorted,0.6274
string_merge,1900,almost_sorted,2.089
std_quick,2000,almost_sorted,7.3808
std_merge,2000,almost_sorted,3.9768
ternary_quick,2000,almost_sorted,2.3624
msd,2000,almost_sorted,1.9062
msd_hybrid,2000,almost_sorted,0.6764
string_merge,2000,almost_sorted,2.2076
std_quick,2100,almost_sorted,7.8022
std_merge,2100,almost_sorted,4.1858
ternary_quick,2100,almost_sorted,2.5856
